drug_city_2022,Prscrbr_State_Abrvtn,POPESTIMATE2022,total_prescriptions_2022,avg_aqi_2022,all_prescriptions_2022,asthma_fraction_2022,rate_per_1000_2022,total_cost_all_2022,total_cost_asthma_2022,asthma_cost_fraction_2022
Dearborn,MI,1763011,62896,61.64383561643836,1190125,0.05284823022791724,35.675330443202,79444301.26,5573993.79,0.07016228604941474
Decatur,AL,157400,21367,47.88493150684931,477348,0.04476189279100363,135.74968233799237,22832778.3,1915913.62,0.08391066539633506
Decatur,IL,101369,25847,47.37260273972603,484313,0.05336837953967785,254.97933293215874,34150777.02,3348367.05,0.09804658465132632
Deming,NM,25677,3453,24.907821229050278,105238,0.03281134191071666,134.478326907349,6399917.04,206789.47,0.032311273522383034
Des Moines,IA,729453,46308,41.967123287671235,1144925,0.04044631744437409,63.48318534573166,114197804.37,5678579.73,0.04972582232493233
Dickinson,ND,37789,3796,39.89531680440771,117573,0.032286324241109776,100.45251263595226,6542466.44,470157.05,0.07186235562868244
Dodge City,KS,33842,2330,23.361878453038674,67474,0.034531819663870526,68.84935878494178,2221635.87,229475.97,0.10329144082463883
Douglas,AZ,125497,2242,45.78630136986301,47717,0.046985351132719996,17.864968883718337,2700022.77,137018.42,0.05074713499545784
Douglas,GA,147690,16073,37.0672268907563,352899,0.04554560936698602,108.82930462455143,16922155.98,835922.62,0.04939811575947901
Dover,DE,187819,22380,42.39835164835165,458631,0.04879739921636348,119.15727375824598,41529602.52,3678940.91,0.08858598895157449
Duluth,MN,280337,33102,37.586301369863016,829527,0.039904668564133536,118.07931168557843,68109275.43,4759320.81,0.06987771900306647
Dunkirk,NY,125310,3030,38.46760563380282,76382,0.039669031970883194,24.18003351687814,6855253.51,216581.05,0.03159344139265829
Durango,CO,56577,9670,48.98082191780822,199720,0.0484177848988584,170.91751064920373,16168601.9,1508604.48,0.0933045719927089
Dyersburg,TN,36392,12484,38.57022471910113,313167,0.0398637148869453,343.04242690701255,15699576.459999999,1277808.07,0.08139124474189798
Eagle Pass,TX,57813,4509,37.49856733524355,181350,0.024863523573200992,77.99283898085206,10075438.11,164174.49,0.01629452617420723
East Hartford,CT,1151750,7281,46.59452054794521,131634,0.05531245726787912,6.321684393314522,10733311.82,588525.76,0.054831702448387455
East Lansing,MI,473375,8405,45.320547945205476,281007,0.029910286932353997,17.755479271190914,32864413.12,476070.17,0.01448588685462581
East Stroudsburg,PA,167437,16475,39.09405940594059,232485,0.0708647869755038,98.39521730561346,20116404.73,2080124.59,0.10340439148641051
Eau Claire,WI,106835,27789,41.345205479452055,616581,0.04506950425004987,260.1113867178359,48567328.48,3816774.24,0.07858727995656063
Effingham,IL,34336,8439,39.2510460251046,219504,0.0384457686420293,245.77702702702703,16581481.2,548034.01,0.03305096832965682
El Centro,CA,179767,12329,76.95342465753424,365476,0.03373408924252208,68.58322161464562,36819178.19,922318.96,0.02504996051895856
